Jurisdiction,Value,Race/ ethnicity,Year,Measure
Howard,8,All races/ ethnicities (aggregated),2012,Babies with low birth weight
Kent,16.9,All races/ ethnicities (aggregated),2012,Babies with low birth weight
Montgomery,7.4,All races/ ethnicities (aggregated),2012,Babies with low birth weight
Prince George's,10,All races/ ethnicities (aggregated),2012,Babies with low birth weight
Queen Anne's,7.4,All races/ ethnicities (aggregated),2012,Babies with low birth weight
Saint Mary's,7.2,All races/ ethnicities (aggregated),2012,Babies with low birth weight
Somerset,7.6,All races/ ethnicities (aggregated),2012,Babies with low birth weight
Talbot,6.9,All races/ ethnicities (aggregated),2012,Babies with low birth weight
Washington,8.8,All races/ ethnicities (aggregated),2012,Babies with low birth weight
Wicomico,8.9,All races/ ethnicities (aggregated),2012,Babies with low birth weight
Worcester,5.3,All races/ ethnicities (aggregated),2012,Babies with low birth weight
State,8.9,All races/ ethnicities (aggregated),2011,Babies with low birth weight
Allegany,8.9,All races/ ethnicities (aggregated),2011,Babies with low birth weight
Anne Arundel,8.1,All races/ ethnicities (aggregated),2011,Babies with low birth weight
Baltimore City,11.6,All races/ ethnicities (aggregated),2011,Babies with low birth weight
Baltimore County,9.1,All races/ ethnicities (aggregated),2011,Babies with low birth weight
Calvert,6.8,All races/ ethnicities (aggregated),2011,Babies with low birth weight
Caroline,8.4,All races/ ethnicities (aggregated),2011,Babies with low birth weight
Carroll,5.8,All races/ ethnicities (aggregated),2011,Babies with low birth weight
Cecil,8.7,All races/ ethnicities (aggregated),2011,Babies with low birth weight
Charles,10,All races/ ethnicities (aggregated),2011,Babies with low birth weight
Dorchester,11.2,All races/ ethnicities (aggregated),2011,Babies with low birth weight
Frederick,7.5,All races/ ethnicities (aggregated),2011,Babies with low birth weight
Garrett,6,All races/ ethnicities (aggregated),2011,Babies with low birth weight
Harford,7.3,All races/ ethnicities (aggregated),2011,Babies with low birth weight
Howard,8.3,All races/ ethnicities (aggregated),2011,Babies with low birth weight
Kent,9.2,All races/ ethnicities (aggregated),2011,Babies with low birth weight
Montgomery,7.7,All races/ ethnicities (aggregated),2011,Babies with low birth weight
Prince George's,10,All races/ ethnicities (aggregated),2011,Babies with low birth weight
Queen Anne's,8.9,All races/ ethnicities (aggregated),2011,Babies with low birth weight
Saint Mary's,5.6,All races/ ethnicities (aggregated),2011,Babies with low birth weight
Somerset,10.1,All races/ ethnicities (aggregated),2011,Babies with low birth weight
Talbot,8.3,All races/ ethnicities (aggregated),2011,Babies with low birth weight
Washington,7.7,All races/ ethnicities (aggregated),2011,Babies with low birth weight
Wicomico,9,All races/ ethnicities (aggregated),2011,Babies with low birth weight
Worcester,9.1,All races/ ethnicities (aggregated),2011,Babies with low birth weight
State,8.8,All races/ ethnicities (aggregated),2010,Babies with low birth weight
Allegany,10.3,All races/ ethnicities (aggregated),2010,Babies with low birth weight
Anne Arundel,8.2,All races/ ethnicities (aggregated),2010,Babies with low birth weight
Baltimore City,11.7,All races/ ethnicities (aggregated),2010,Babies with low birth weight
Baltimore County,8.4,All races/ ethnicities (aggregated),2010,Babies with low birth weight
Calvert,6,All races/ ethnicities (aggregated),2010,Babies with low birth weight
Caroline,8.6,All races/ ethnicities (aggregated),2010,Babies with low birth weight
Carroll,5.8,All races/ ethnicities (aggregated),2010,Babies with low birth weight
Cecil,7.8,All races/ ethnicities (aggregated),2010,Babies with low birth weight
Charles,9.8,All races/ ethnicities (aggregated),2010,Babies with low birth weight
Dorchester,11.3,All races/ ethnicities (aggregated),2010,Babies with low birth weight
Frederick,8.5,All races/ ethnicities (aggregated),2010,Babies with low birth weight
Garrett,7.9,All races/ ethnicities (aggregated),2010,Babies with low birth weight
Harford,7.6,All races/ ethnicities (aggregated),2010,Babies with low birth weight
Howard,7.7,All races/ ethnicities (aggregated),2010,Babies with low birth weight
Kent,10.8,All races/ ethnicities (aggregated),2010,Babies with low birth weight
Montgomery,7.7,All races/ ethnicities (aggregated),2010,Babies with low birth weight
Prince George's,10.2,All races/ ethnicities (aggregated),2010,Babies with low birth weight
Queen Anne's,10.5,All races/ ethnicities (aggregated),2010,Babies with low birth weight
Saint Mary's,4.9,All races/ ethnicities (aggregated),2010,Babies with low birth weight
Somerset,7.4,All races/ ethnicities (aggregated),2010,Babies with low birth weight
Talbot,6.7,All races/ ethnicities (aggregated),2010,Babies with low birth weight
Washington,9.1,All races/ ethnicities (aggregated),2010,Babies with low birth weight
Wicomico,8.2,All races/ ethnicities (aggregated),2010,Babies with low birth weight
Worcester,5.3,All races/ ethnicities (aggregated),2010,Babies with low birth weight
