Jurisdiction,Value,Race/ ethnicity,Year,Measure
Carroll,10,All races/ ethnicities (aggregated),2013,Teen birth rate
Cecil,22.8,All races/ ethnicities (aggregated),2013,Teen birth rate
Charles,19.6,All races/ ethnicities (aggregated),2013,Teen birth rate
Dorchester,33.1,All races/ ethnicities (aggregated),2013,Teen birth rate
Frederick,11.4,All races/ ethnicities (aggregated),2013,Teen birth rate
Garrett,29.6,All races/ ethnicities (aggregated),2013,Teen birth rate
Harford,11.3,All races/ ethnicities (aggregated),2013,Teen birth rate
Howard,7.6,All races/ ethnicities (aggregated),2013,Teen birth rate
Kent,13.3,All races/ ethnicities (aggregated),2013,Teen birth rate
Montgomery,12.8,All races/ ethnicities (aggregated),2013,Teen birth rate
Prince George's,24.2,All races/ ethnicities (aggregated),2013,Teen birth rate
Queen Anne's,12.4,All races/ ethnicities (aggregated),2013,Teen birth rate
Saint Mary's,14.4,All races/ ethnicities (aggregated),2013,Teen birth rate
Somerset,39.9,All races/ ethnicities (aggregated),2013,Teen birth rate
Talbot,15.7,All races/ ethnicities (aggregated),2013,Teen birth rate
Washington,28.2,All races/ ethnicities (aggregated),2013,Teen birth rate
Wicomico,21.1,All races/ ethnicities (aggregated),2013,Teen birth rate
Worcester,20.6,All races/ ethnicities (aggregated),2013,Teen birth rate
State,22.1,All races/ ethnicities (aggregated),2012,Teen birth rate
Allegany,23.6,All races/ ethnicities (aggregated),2012,Teen birth rate
Anne Arundel,20.3,All races/ ethnicities (aggregated),2012,Teen birth rate
Baltimore City,46.9,All races/ ethnicities (aggregated),2012,Teen birth rate
Baltimore County,17.2,All races/ ethnicities (aggregated),2012,Teen birth rate
Calvert,15.4,All races/ ethnicities (aggregated),2012,Teen birth rate
Caroline,24.9,All races/ ethnicities (aggregated),2012,Teen birth rate
Carroll,13.4,All races/ ethnicities (aggregated),2012,Teen birth rate
Cecil,28.7,All races/ ethnicities (aggregated),2012,Teen birth rate
Charles,20.2,All races/ ethnicities (aggregated),2012,Teen birth rate
Dorchester,46.6,All races/ ethnicities (aggregated),2012,Teen birth rate
Frederick,14.4,All races/ ethnicities (aggregated),2012,Teen birth rate
Garrett,34.4,All races/ ethnicities (aggregated),2012,Teen birth rate
Harford,14.9,All races/ ethnicities (aggregated),2012,Teen birth rate
Howard,8.3,All races/ ethnicities (aggregated),2012,Teen birth rate
Kent,12.7,All races/ ethnicities (aggregated),2012,Teen birth rate
Montgomery,13.5,All races/ ethnicities (aggregated),2012,Teen birth rate
Prince George's,27.7,All races/ ethnicities (aggregated),2012,Teen birth rate
Queen Anne's,14.1,All races/ ethnicities (aggregated),2012,Teen birth rate
Saint Mary's,18.7,All races/ ethnicities (aggregated),2012,Teen birth rate
Somerset,30.4,All races/ ethnicities (aggregated),2012,Teen birth rate
Talbot,18.5,All races/ ethnicities (aggregated),2012,Teen birth rate
Washington,36.2,All races/ ethnicities (aggregated),2012,Teen birth rate
Wicomico,24.8,All races/ ethnicities (aggregated),2012,Teen birth rate
Worcester,19.3,All races/ ethnicities (aggregated),2012,Teen birth rate
State,24.7,All races/ ethnicities (aggregated),2011,Teen birth rate
Allegany,32.1,All races/ ethnicities (aggregated),2011,Teen birth rate
Anne Arundel,22.3,All races/ ethnicities (aggregated),2011,Teen birth rate
Baltimore City,50.7,All races/ ethnicities (aggregated),2011,Teen birth rate
Baltimore County,21.5,All races/ ethnicities (aggregated),2011,Teen birth rate
Calvert,16,All races/ ethnicities (aggregated),2011,Teen birth rate
Caroline,37.2,All races/ ethnicities (aggregated),2011,Teen birth rate
Carroll,11.6,All races/ ethnicities (aggregated),2011,Teen birth rate
Cecil,32.3,All races/ ethnicities (aggregated),2011,Teen birth rate
Charles,21.5,All races/ ethnicities (aggregated),2011,Teen birth rate
Dorchester,43.8,All races/ ethnicities (aggregated),2011,Teen birth rate
Frederick,15,All races/ ethnicities (aggregated),2011,Teen birth rate
Garrett,35,All races/ ethnicities (aggregated),2011,Teen birth rate
Harford,12.4,All races/ ethnicities (aggregated),2011,Teen birth rate
Howard,8.8,All races/ ethnicities (aggregated),2011,Teen birth rate
Kent,10.6,All races/ ethnicities (aggregated),2011,Teen birth rate
Montgomery,14.1,All races/ ethnicities (aggregated),2011,Teen birth rate
Prince George's,30.7,All races/ ethnicities (aggregated),2011,Teen birth rate
Queen Anne's,16.1,All races/ ethnicities (aggregated),2011,Teen birth rate
Saint Mary's,29.4,All races/ ethnicities (aggregated),2011,Teen birth rate
Somerset,24.4,All races/ ethnicities (aggregated),2011,Teen birth rate
Talbot,24.8,All races/ ethnicities (aggregated),2011,Teen birth rate
Washington,38.1,All races/ ethnicities (aggregated),2011,Teen birth rate
Wicomico,33.3,All races/ ethnicities (aggregated),2011,Teen birth rate
Worcester,33,All races/ ethnicities (aggregated),2011,Teen birth rate
State,27.2,All races/ ethnicities (aggregated),2010,Teen birth rate
Allegany,31.8,All races/ ethnicities (aggregated),2010,Teen birth rate
Anne Arundel,25.8,All races/ ethnicities (aggregated),2010,Teen birth rate
Baltimore City,53.3,All races/ ethnicities (aggregated),2010,Teen birth rate
Baltimore County,22.5,All races/ ethnicities (aggregated),2010,Teen birth rate
Calvert,17.9,All races/ ethnicities (aggregated),2010,Teen birth rate
Caroline,41.4,All races/ ethnicities (aggregated),2010,Teen birth rate
Carroll,15.5,All races/ ethnicities (aggregated),2010,Teen birth rate
Cecil,32.1,All races/ ethnicities (aggregated),2010,Teen birth rate
Charles,22.8,All races/ ethnicities (aggregated),2010,Teen birth rate
Dorchester,55.1,All races/ ethnicities (aggregated),2010,Teen birth rate
Frederick,19.8,All races/ ethnicities (aggregated),2010,Teen birth rate
Garrett,30.7,All races/ ethnicities (aggregated),2010,Teen birth rate
Harford,16.9,All races/ ethnicities (aggregated),2010,Teen birth rate
Howard,10.1,All races/ ethnicities (aggregated),2010,Teen birth rate
Kent,15.5,All races/ ethnicities (aggregated),2010,Teen birth rate
Montgomery,17.4,All races/ ethnicities (aggregated),2010,Teen birth rate
Prince George's,33.1,All races/ ethnicities (aggregated),2010,Teen birth rate
Queen Anne's,16.4,All races/ ethnicities (aggregated),2010,Teen birth rate
Saint Mary's,24.9,All races/ ethnicities (aggregated),2010,Teen birth rate
Somerset,31.6,All races/ ethnicities (aggregated),2010,Teen birth rate
Talbot,20.4,All races/ ethnicities (aggregated),2010,Teen birth rate
Washington,36,All races/ ethnicities (aggregated),2010,Teen birth rate
Wicomico,30.9,All races/ ethnicities (aggregated),2010,Teen birth rate
Worcester,26.6,All races/ ethnicities (aggregated),2010,Teen birth rate
